test_id,Demand,Order Quantity,Inventory,Holdingcost,Orderingcost
1,81,615,534,5340,534
1,49,0,485,10190,534
1,97,0,388,14070,534
1,40,0,348,17550,534
1,1,0,347,21020,534
1,55,0,292,23940,534
1,87,0,205,25990,534
1,46,0,159,27580,534
1,82,0,77,28350,534
1,77,0,0,28350,534
2,42,517,475,1900,947
2,40,0,435,3640,947
2,74,0,361,5084,947
2,13,0,348,6476,947
2,64,0,284,7612,947
2,1,0,283,8744,947
2,84,0,199,9540,947
2,27,0,172,10228,947
2,98,0,74,10524,947
2,74,0,0,10524,947
3,81,359,278,556,846
3,55,0,223,1002,846
3,0,0,223,1448,846
3,16,0,207,1862,846
3,21,0,186,2234,846
3,8,0,178,2590,846
3,10,0,168,2926,846
3,24,0,144,3214,846
3,94,0,50,3314,846
3,50,0,0,3314,846
4,44,520,476,3332,769
4,30,0,446,6454,769
4,76,0,370,9044,769
4,89,0,281,11011,769
4,93,0,188,12327,769
4,56,0,132,13251,769
4,15,0,117,14070,769
4,66,0,51,14427,769
4,35,0,16,14539,769
4,16,0,0,14539,769
5,21,299,278,1112,412
5,13,0,265,2172,412
5,11,0,254,3188,412
5,64,0,190,3948,412
5,33,0,157,4576,412
5,57,0,100,4976,412
5,15,0,85,5316,412
5,26,0,59,5552,412
5,23,0,36,5696,412
5,36,0,0,5696,412
6,42,517,475,475,234
6,6,0,469,944,234
6,2,0,467,1411,234
6,32,0,435,1846,234
6,88,0,347,2193,234
6,80,0,267,2460,234
6,3,0,264,2724,234
6,83,0,181,2905,234
6,88,0,93,2998,234
6,93,0,0,2998,234
7,23,550,527,3689,543
7,24,0,503,7210,543
7,86,0,417,10129,543
7,83,0,334,12467,543
7,91,0,243,14168,543
7,56,0,187,15477,543
7,22,0,165,16632,543
7,46,0,119,17465,543
7,67,0,52,17829,543
7,52,0,0,17829,543
8,14,279,265,530,331
8,7,0,258,1046,331
8,23,0,235,1516,331
8,1,0,234,1984,331
8,42,0,192,2368,331
8,22,0,170,2708,331
8,52,0,118,2944,331
8,22,0,96,3136,331
8,13,0,83,3302,331
8,83,0,0,3302,331
9,86,514,428,2996,341
9,81,0,347,5425,341
9,94,0,253,7196,341
9,3,0,250,8946,341
9,3,0,247,10675,341
9,88,0,159,11788,341
9,61,0,98,12474,341
9,16,0,82,13048,341
9,57,0,25,13223,341
9,25,0,0,13223,341
10,94,596,502,4016,111
10,81,0,421,7384,111
10,40,0,381,10432,111
10,58,0,323,13016,111
10,89,0,234,14888,111
10,44,0,190,16408,111
10,36,0,154,17640,111
10,63,0,91,18368,111
10,60,0,31,18616,111
10,31,0,0,18616,111
11,20,642,622,3732,365
11,16,0,606,7368,365
11,58,0,548,10656,365
11,88,0,460,13416,365
11,87,0,373,15654,365
11,40,0,333,17652,365
11,100,0,233,19050,365
11,40,0,193,20208,365
11,95,0,98,20796,365
11,98,0,0,20796,365
12,15,495,480,3840,218
12,68,0,412,7136,218
12,66,0,346,9904,218
12,62,0,284,12176,218
12,3,0,281,14424,218
12,75,0,206,16072,218
12,32,0,174,17464,218
12,34,0,140,18584,218
12,40,0,100,19384,218
12,100,0,0,19384,218
13,6,363,357,3213,311
13,29,0,328,6165,311
13,12,0,316,9009,311
13,84,0,232,11097,311
13,39,0,193,12834,311
13,55,0,138,14076,311
13,5,0,133,15273,311
13,55,0,78,15975,311
13,75,0,3,16002,311
13,3,0,0,16002,311
14,9,472,463,3704,264
14,29,0,434,7176,264
14,34,0,400,10376,264
14,98,0,302,12792,264
14,59,0,243,14736,264
14,41,0,202,16352,264
14,17,0,185,17832,264
14,89,0,96,18600,264
14,13,0,83,19264,264
14,83,0,0,19264,264
15,55,658,603,3618,868
15,27,0,576,7074,868
15,85,0,491,10020,868
15,72,0,419,12534,868
15,85,0,334,14538,868
15,73,0,261,16104,868
15,51,0,210,17364,868
15,86,0,124,18108,868
15,62,0,62,18480,868
15,62,0,0,18480,868
16,11,444,433,3031,915
16,6,0,427,6020,915
16,79,0,348,8456,915
16,45,0,303,10577,915
16,99,0,204,12005,915
16,82,0,122,12859,915
16,14,0,108,13615,915
16,58,0,50,13965,915
16,18,0,32,14189,915
16,32,0,0,14189,915
17,88,567,479,3832,585
17,98,0,381,6880,585
17,37,0,344,9632,585
17,54,0,290,11952,585
17,11,0,279,14184,585
17,97,0,182,15640,585
17,40,0,142,16776,585
