test_id,Demand,Order Quantity,Inventory,Holdingcost,Orderingcost
1,81,81,0,10,4806
1,49,49,0,10,4806
1,97,97,0,10,4806
1,40,41,1,10,4806
1,1,0,0,10,4806
1,55,55,0,10,4806
1,87,87,0,10,4806
1,46,46,0,10,4806
1,82,82,0,10,4806
1,77,77,0,10,4806
2,42,169,127,1316,3788
2,40,0,87,1316,3788
2,74,0,13,1316,3788
2,13,0,0,1316,3788
2,64,65,1,1316,3788
2,1,0,0,1316,3788
2,84,111,27,1316,3788
2,27,0,0,1316,3788
2,98,172,74,1316,3788
2,74,0,0,1316,3788
3,81,215,134,1010,1692
3,55,0,79,1010,1692
3,0,0,79,1010,1692
3,16,0,63,1010,1692
3,21,0,42,1010,1692
3,8,0,34,1010,1692
3,10,0,24,1010,1692
3,24,0,0,1010,1692
3,94,144,50,1010,1692
3,50,0,0,1010,1692
4,44,74,30,784,4614
4,30,0,0,784,4614
4,76,76,0,784,4614
4,89,89,0,784,4614
4,93,93,0,784,4614
4,56,71,15,784,4614
4,15,0,0,784,4614
4,66,117,51,784,4614
4,35,0,16,784,4614
4,16,0,0,784,4614
5,21,45,24,816,1648
5,13,0,11,816,1648
5,11,0,0,816,1648
5,64,97,33,816,1648
5,33,0,0,816,1648
5,57,121,64,816,1648
5,15,0,49,816,1648
5,26,0,23,816,1648
5,23,0,0,816,1648
5,36,36,0,816,1648
6,42,82,40,280,936
6,6,0,34,280,936
6,2,0,32,280,936
6,32,0,0,280,936
6,88,171,83,280,936
6,80,0,3,280,936
6,3,0,0,280,936
6,83,171,88,280,936
6,88,0,0,280,936
6,93,93,0,280,936
7,23,47,24,322,4344
7,24,0,0,322,4344
7,86,86,0,322,4344
7,83,83,0,322,4344
7,91,91,0,322,4344
7,56,78,22,322,4344
7,22,0,0,322,4344
7,46,46,0,322,4344
7,67,67,0,322,4344
7,52,52,0,322,4344
8,14,45,31,600,993
8,7,0,24,600,993
8,23,0,1,600,993
8,1,0,0,600,993
8,42,151,109,600,993
8,22,0,87,600,993
8,52,0,35,600,993
8,22,0,13,600,993
8,13,0,0,600,993
8,83,83,0,600,993
9,86,86,0,21,3069
9,81,81,0,21,3069
9,94,94,0,21,3069
9,3,6,3,21,3069
9,3,0,0,21,3069
9,88,88,0,21,3069
9,61,61,0,21,3069
9,16,16,0,21,3069
9,57,57,0,21,3069
9,25,25,0,21,3069
10,94,94,0,0,1110
10,81,81,0,0,1110
10,40,40,0,0,1110
10,58,58,0,0,1110
10,89,89,0,0,1110
10,44,44,0,0,1110
10,36,36,0,0,1110
10,63,63,0,0,1110
10,60,60,0,0,1110
10,31,31,0,0,1110
11,20,36,16,96,3285
11,16,0,0,96,3285
11,58,58,0,96,3285
11,88,88,0,96,3285
11,87,87,0,96,3285
11,40,40,0,96,3285
11,100,100,0,96,3285
11,40,40,0,96,3285
11,95,95,0,96,3285
11,98,98,0,96,3285
12,15,15,0,0,2180
12,68,68,0,0,2180
12,66,66,0,0,2180
12,62,62,0,0,2180
12,3,3,0,0,2180
12,75,75,0,0,2180
12,32,32,0,0,2180
12,34,34,0,0,2180
12,40,40,0,0,2180
12,100,100,0,0,2180
13,6,6,0,108,2799
13,29,41,12,108,2799
13,12,0,0,108,2799
13,84,84,0,108,2799
13,39,39,0,108,2799
13,55,55,0,108,2799
13,5,5,0,108,2799
13,55,55,0,108,2799
13,75,75,0,108,2799
13,3,3,0,108,2799
14,9,9,0,0,2640
14,29,29,0,0,2640
14,34,34,0,0,2640
14,98,98,0,0,2640
14,59,59,0,0,2640
14,41,41,0,0,2640
14,17,17,0,0,2640
14,89,89,0,0,2640
14,13,13,0,0,2640
14,83,83,0,0,2640
15,55,82,27,1272,5208
15,27,0,0,1272,5208
15,85,157,72,1272,5208
15,72,0,0,1272,5208
15,85,85,0,1272,5208
15,73,124,51,1272,5208
15,51,0,0,1272,5208
15,86,148,62,1272,5208
15,62,0,0,1272,5208
15,62,62,0,1272,5208
16,11,17,6,1029,4575
16,6,0,0,1029,4575
16,79,124,45,1029,4575
16,45,0,0,1029,4575
16,99,99,0,1029,4575
16,82,96,14,1029,4575
16,14,0,0,1029,4575
16,58,108,50,1029,4575
16,18,0,32,1029,4575
16,32,0,0,1029,4575
17,88,88,0,304,4680
17,98,98,0,304,4680
17,37,37,0,304,4680
17,54,65,11,304,4680
17,11,0,0,304,4680
17,97,97,0,304,4680
17,40,67,27,304,4680
17,27,0,0,304,4680
17,73,73,0,304,4680
17,42,42,0,304,4680
18,70,70,0,45,3942
18,30,30,0,45,3942
18,43,43,0,45,3942
18,66,66,0,45,3942
18,97,97,0,45,3942
18,4,9,5,45,3942
18,5,0,0,45,3942
18,62,62,0,45,3942
18,9,9,0,45,3942
18,66,66,0,45,3942
19,83,83,0,0,3560
19,10,10,0,0,3560
19,71,71,0,0,3560
19,81,81,0,0,3560
19,13,13,0,0,3560
19,97,97,0,0,3560
19,27,27,0,0,3560
19,72,72,0,0,3560
19,99,99,0,0,3560
19,30,30,0,0,3560
20,11,254,243,2396,1640
20,34,0,209,2396,1640
20,35,0,174,2396,1640
20,78,0,96,2396,1640
20,31,0,65,2396,1640
20,65,0,0,2396,1640
20,69,273,204,2396,1640
20,55,0,149,2396,1640
20,91,0,58,2396,1640
20,58,0,0,2396,1640
21,55,95,40,125,780
21,40,0,0,125,780
21,90,143,53,125,780
21,53,0,0,125,780
21,56,58,2,125,780
21,2,0,0,125,780
21,77,92,15,125,780
21,15,0,0,125,780
21,83,98,15,125,780
21,15,0,0,125,780
22,3,3,0,440,3528
22,77,84,7,440,3528
22,7,0,0,440,3528
22,66,128,62,440,3528
22,50,0,12,440,3528
22,12,0,0,440,3528
22,91,91,0,440,3528
22,86,86,0,440,3528
22,74,81,7,440,3528
22,7,0,0,440,3528
23,90,137,47,1701,4340
23,34,0,13,1701,4340
23,13,0,0,1701,4340
23,88,158,70,1701,4340
23,46,0,24,1701,4340
23,24,0,0,1701,4340
23,62,62,0,1701,4340
23,76,111,35,1701,4340
23,35,0,0,1701,4340
23,72,72,0,1701,4340
24,21,21,0,0,6480
24,73,73,0,0,6480
24,87,87,0,0,6480
24,99,99,0,0,6480
24,71,71,0,0,6480
24,30,30,0,0,6480
24,37,37,0,0,6480
24,89,89,0,0,6480
24,95,95,0,0,6480
24,53,53,0,0,6480
25,39,39,0,948,2895
25,80,84,4,948,2895
25,4,0,0,948,2895
25,85,85,0,948,2895
25,89,167,78,948,2895
25,30,0,48,948,2895
25,25,0,23,948,2895
25,23,0,0,948,2895
25,35,40,5,948,2895
25,5,0,0,948,2895
26,58,197,139,1188,2238
26,87,0,52,1188,2238
26,48,0,4,1188,2238
26,4,0,0,1188,2238
26,59,78,19,1188,2238
26,13,0,6,1188,2238
26,6,0,0,1188,2238
26,85,214,129,1188,2238
26,82,0,47,1188,2238
26,47,0,0,1188,2238
27,14,81,67,840,2705
27,24,0,43,840,2705
27,17,0,26,840,2705
27,26,0,0,840,2705
27,96,109,13,840,2705
27,13,0,0,840,2705
27,87,87,0,840,2705
27,65,84,19,840,2705
27,19,0,0,840,2705
27,49,49,0,840,2705
28,51,181,130,547,1020
28,19,0,111,547,1020
28,65,0,46,547,1020
28,44,0,2,547,1020
28,2,0,0,547,1020
28,58,199,141,547,1020
28,43,0,98,547,1020
28,79,0,19,547,1020
28,19,0,0,547,1020
28,79,79,0,547,1020
29,92,123,31,638,1989
29,18,0,13,638,1989
29,13,0,0,638,1989
29,99,200,101,638,1989
29,13,0,88,638,1989
29,65,0,23,638,1989
29,21,0,2,638,1989
29,2,0,0,638,1989
29,94,155,61,638,1989
29,61,0,0,638,1989
30,38,38,0,320,3430
30,49,49,0,320,3430
30,51,79,28,320,3430
30,0,0,28,320,3430
30,28,0,0,320,3430
30,95,103,8,320,3430
30,8,0,0,320,3430
30,47,47,0,320,3430
30,89,89,0,320,3430
30,76,76,0,320,3430
31,43,43,0,556,3252
31,82,107,25,556,3252
31,25,0,0,556,3252
31,69,125,56,556,3252
31,31,0,25,556,3252
31,25,0,0,556,3252
31,40,40,0,556,3252
31,80,113,33,556,3252
31,33,0,0,556,3252
31,57,57,0,556,3252
32,89,89,0,135,3861
32,22,22,0,135,3861
32,53,53,0,135,3861
32,6,6,0,135,3861
32,97,97,0,135,3861
32,43,43,0,135,3861
32,26,41,15,135,3861
32,15,0,0,135,3861
32,59,59,0,135,3861
32,26,26,0,135,3861
33,27,27,0,1200,6370
33,97,97,0,1200,6370
33,86,86,0,1200,6370
33,91,91,0,1200,6370
33,81,81,0,1200,6370
33,83,185,102,1200,6370
33,30,0,72,1200,6370
33,46,0,26,1200,6370
33,26,0,0,1200,6370
33,37,37,0,1200,6370
34,15,15,0,56,3060
34,66,66,0,56,3060
34,55,55,0,56,3060
34,64,64,0,56,3060
34,9,9,0,56,3060
34,100,100,0,56,3060
34,62,62,0,56,3060
34,32,39,7,56,3060
34,7,0,0,56,3060
34,49,49,0,56,3060
35,34,42,8,324,2695
35,8,0,0,324,2695
35,86,86,0,324,2695
35,80,80,0,324,2695
35,72,72,0,324,2695
35,15,45,30,324,2695
35,14,0,16,324,2695
35,16,0,0,324,2695
35,53,53,0,324,2695
35,46,46,0,324,2695
36,20,84,64,658,1490
36,64,0,0,658,1490
36,73,73,0,658,1490
36,76,130,54,658,1490
36,54,0,0,658,1490
36,88,196,108,658,1490
36,59,0,49,658,1490
36,49,0,0,658,1490
36,42,96,54,658,1490
36,54,0,0,658,1490
37,11,79,68,2228,2379
37,6,0,62,2228,2379
37,44,0,18,2228,2379
37,18,0,0,2228,2379
37,52,226,174,2228,2379
37,83,0,91,2228,2379
37,45,0,46,2228,2379
37,46,0,0,2228,2379
37,47,145,98,2228,2379
37,98,0,0,2228,2379
38,16,125,109,875,4750
38,88,0,21,875,4750
38,21,0,0,875,4750
38,85,103,18,875,4750
38,18,0,0,875,4750
38,97,109,12,875,4750
38,12,0,0,875,4750
38,92,107,15,875,4750
38,15,0,0,875,4750
38,99,99,0,875,4750
39,13,74,61,1050,1732
39,10,0,51,1050,1732
39,10,0,41,1050,1732
39,2,0,39,1050,1732
39,39,0,0,1050,1732
39,94,202,108,1050,1732
39,10,0,98,1050,1732
39,18,0,80,1050,1732
39,33,0,47,1050,1732
39,47,0,0,1050,1732
40,66,66,0,1188,4800
40,73,81,8,1188,4800
40,8,0,0,1188,4800
40,71,132,61,1188,4800
40,61,0,0,1188,4800
40,54,54,0,1188,4800
40,90,179,89,1188,4800
40,49,0,40,1188,4800
40,40,0,0,1188,4800
40,68,68,0,1188,4800
41,49,264,215,1596,1228
41,61,0,154,1596,1228
41,37,0,117,1596,1228
41,74,0,43,1596,1228
