test_id,Demand,Order Quantity,Inventory,Holdingcost,Orderingcost
1,81,130,49,1370,3204
1,49,0,0,1370,3204
1,97,138,41,1370,3204
1,40,0,1,1370,3204
1,1,0,0,1370,3204
1,55,55,0,1370,3204
1,87,133,46,1370,3204
1,46,0,0,1370,3204
1,82,82,0,1370,3204
1,77,77,0,1370,3204
2,42,169,127,1316,3788
2,40,0,87,1316,3788
2,74,0,13,1316,3788
2,13,0,0,1316,3788
2,64,65,1,1316,3788
2,1,0,0,1316,3788
2,84,111,27,1316,3788
2,27,0,0,1316,3788
2,98,172,74,1316,3788
2,74,0,0,1316,3788
3,81,191,110,962,1692
3,55,0,55,962,1692
3,0,0,55,962,1692
3,16,0,39,962,1692
3,21,0,18,962,1692
3,8,0,10,962,1692
3,10,0,0,962,1692
3,24,168,144,962,1692
3,94,0,50,962,1692
3,50,0,0,962,1692
4,44,74,30,1904,3076
4,30,0,0,1904,3076
4,76,165,89,1904,3076
4,89,0,0,1904,3076
4,93,164,71,1904,3076
4,56,0,15,1904,3076
4,15,0,0,1904,3076
4,66,117,51,1904,3076
4,35,0,16,1904,3076
4,16,0,0,1904,3076
5,21,45,24,684,1648
5,13,0,11,684,1648
5,11,0,0,684,1648
5,64,97,33,684,1648
5,33,0,0,684,1648
5,57,98,41,684,1648
5,15,0,26,684,1648
5,26,0,0,684,1648
5,23,59,36,684,1648
5,36,0,0,684,1648
6,42,82,40,280,936
6,6,0,34,280,936
6,2,0,32,280,936
6,32,0,0,280,936
6,88,171,83,280,936
6,80,0,3,280,936
6,3,0,0,280,936
6,83,171,88,280,936
6,88,0,0,280,936
6,93,93,0,280,936
7,23,47,24,1337,3258
7,24,0,0,1337,3258
7,86,86,0,1337,3258
7,83,83,0,1337,3258
7,91,169,78,1337,3258
7,56,0,22,1337,3258
7,22,0,0,1337,3258
7,46,113,67,1337,3258
7,67,0,0,1337,3258
7,52,52,0,1337,3258
8,14,45,31,600,993
8,7,0,24,600,993
8,23,0,1,600,993
8,1,0,0,600,993
8,42,151,109,600,993
8,22,0,87,600,993
8,52,0,35,600,993
8,22,0,13,600,993
8,13,0,0,600,993
8,83,83,0,600,993
9,86,86,0,350,2046
9,81,81,0,350,2046
9,94,100,6,350,2046
9,3,0,3,350,2046
9,3,0,0,350,2046
9,88,88,0,350,2046
9,61,77,16,350,2046
9,16,0,0,350,2046
9,57,82,25,350,2046
9,25,0,0,350,2046
10,94,94,0,0,1110
10,81,81,0,0,1110
10,40,40,0,0,1110
10,58,58,0,0,1110
10,89,89,0,0,1110
10,44,44,0,0,1110
10,36,36,0,0,1110
10,63,63,0,0,1110
10,60,60,0,0,1110
10,31,31,0,0,1110
11,20,36,16,576,2555
11,16,0,0,576,2555
11,58,58,0,576,2555
11,88,88,0,576,2555
11,87,127,40,576,2555
11,40,0,0,576,2555
11,100,140,40,576,2555
11,40,0,0,576,2555
11,95,95,0,576,2555
11,98,98,0,576,2555
12,15,15,0,24,1962
12,68,68,0,24,1962
12,66,66,0,24,1962
12,62,65,3,24,1962
12,3,0,0,24,1962
12,75,75,0,24,1962
12,32,32,0,24,1962
12,34,34,0,24,1962
12,40,40,0,24,1962
12,100,100,0,24,1962
13,6,35,29,333,2177
13,29,0,0,333,2177
13,12,12,0,333,2177
13,84,84,0,333,2177
13,39,39,0,333,2177
13,55,60,5,333,2177
13,5,0,0,333,2177
13,55,55,0,333,2177
13,75,78,3,333,2177
13,3,0,0,333,2177
14,9,38,29,472,1848
14,29,0,0,472,1848
14,34,34,0,472,1848
14,98,98,0,472,1848
14,59,59,0,472,1848
14,41,58,17,472,1848
14,17,0,0,472,1848
14,89,102,13,472,1848
14,13,0,0,472,1848
14,83,83,0,472,1848
15,55,82,27,1920,4340
15,27,0,0,1920,4340
15,85,157,72,1920,4340
15,72,0,0,1920,4340
15,85,158,73,1920,4340
15,73,0,0,1920,4340
15,51,137,86,1920,4340
15,86,0,0,1920,4340
15,62,124,62,1920,4340
15,62,0,0,1920,4340
16,11,17,6,1701,3660
16,6,0,0,1701,3660
16,79,124,45,1701,3660
16,45,0,0,1701,3660
16,99,195,96,1701,3660
16,82,0,14,1701,3660
16,14,0,0,1701,3660
16,58,108,50,1701,3660
16,18,0,32,1701,3660
16,32,0,0,1701,3660
17,88,88,0,1288,3510
17,98,135,37,1288,3510
17,37,0,0,1288,3510
17,54,65,11,1288,3510
17,11,0,0,1288,3510
17,97,137,40,1288,3510
17,40,0,0,1288,3510
17,27,100,73,1288,3510
17,73,0,0,1288,3510
17,42,42,0,1288,3510
18,70,100,30,477,2628
18,30,0,0,477,2628
18,43,43,0,477,2628
18,66,66,0,477,2628
18,97,106,9,477,2628
18,4,0,5,477,2628
18,5,0,0,477,2628
18,62,71,9,477,2628
18,9,0,0,477,2628
18,66,66,0,477,2628
19,83,93,10,560,2136
19,10,0,0,560,2136
19,71,71,0,560,2136
19,81,94,13,560,2136
19,13,0,0,560,2136
19,97,124,27,560,2136
19,27,0,0,560,2136
19,72,72,0,560,2136
19,99,129,30,560,2136
19,30,0,0,560,2136
20,11,80,69,1352,2460
20,34,0,35,1352,2460
20,35,0,0,1352,2460
20,78,174,96,1352,2460
20,31,0,65,1352,2460
20,65,0,0,1352,2460
20,69,273,204,1352,2460
20,55,0,149,1352,2460
20,91,0,58,1352,2460
20,58,0,0,1352,2460
21,55,95,40,125,780
21,40,0,0,125,780
21,90,143,53,125,780
21,53,0,0,125,780
21,56,58,2,125,780
21,2,0,0,125,780
21,77,92,15,125,780
21,15,0,0,125,780
21,83,98,15,125,780
21,15,0,0,125,780
22,3,87,84,1290,2352
22,77,0,7,1290,2352
22,7,0,0,1290,2352
22,66,128,62,1290,2352
22,50,0,12,1290,2352
22,12,0,0,1290,2352
22,91,177,86,1290,2352
22,86,0,0,1290,2352
22,74,81,7,1290,2352
22,7,0,0,1290,2352
23,90,137,47,2718,3472
23,34,0,13,2718,3472
23,13,0,0,2718,3472
23,88,158,70,2718,3472
23,46,0,24,2718,3472
23,24,0,0,2718,3472
23,62,138,76,2718,3472
23,76,0,0,2718,3472
23,35,107,72,2718,3472
23,72,0,0,2718,3472
24,21,21,0,830,5184
24,73,73,0,830,5184
24,87,87,0,830,5184
24,99,99,0,830,5184
24,71,101,30,830,5184
24,30,0,0,830,5184
24,37,37,0,830,5184
24,89,89,0,830,5184
24,95,148,53,830,5184
24,53,0,0,830,5184
25,39,123,84,1590,2316
25,80,0,4,1590,2316
25,4,0,0,1590,2316
25,85,204,119,1590,2316
25,89,0,30,1590,2316
25,30,0,0,1590,2316
25,25,48,23,1590,2316
25,23,0,0,1590,2316
25,35,40,5,1590,2316
25,5,0,0,1590,2316
26,58,197,139,1188,2238
26,87,0,52,1188,2238
26,48,0,4,1188,2238
26,4,0,0,1188,2238
26,59,78,19,1188,2238
26,13,0,6,1188,2238
26,6,0,0,1188,2238
26,85,214,129,1188,2238
26,82,0,47,1188,2238
26,47,0,0,1188,2238
27,14,55,41,1415,2164
27,24,0,17,1415,2164
27,17,0,0,1415,2164
27,26,135,109,1415,2164
27,96,0,13,1415,2164
27,13,0,0,1415,2164
27,87,171,84,1415,2164
27,65,0,19,1415,2164
27,19,0,0,1415,2164
27,49,49,0,1415,2164
28,51,181,130,547,1020
28,19,0,111,547,1020
28,65,0,46,547,1020
28,44,0,2,547,1020
28,2,0,0,547,1020
28,58,199,141,547,1020
28,43,0,98,547,1020
28,79,0,19,547,1020
28,19,0,0,547,1020
28,79,79,0,547,1020
29,92,123,31,638,1989
29,18,0,13,638,1989
29,13,0,0,638,1989
29,99,200,101,638,1989
29,13,0,88,638,1989
29,65,0,23,638,1989
29,21,0,2,638,1989
29,2,0,0,638,1989
29,94,155,61,638,1989
29,61,0,0,638,1989
30,38,87,49,1010,2450
30,49,0,0,1010,2450
30,51,79,28,1010,2450
30,0,0,28,1010,2450
30,28,0,0,1010,2450
30,95,103,8,1010,2450
30,8,0,0,1010,2450
30,47,136,89,1010,2450
30,89,0,0,1010,2450
30,76,76,0,1010,2450
31,43,150,107,1436,2168
31,82,0,25,1436,2168
31,25,0,0,1436,2168
31,69,125,56,1436,2168
31,31,0,25,1436,2168
31,25,0,0,1436,2168
31,40,153,113,1436,2168
31,80,0,33,1436,2168
31,33,0,0,1436,2168
31,57,57,0,1436,2168
32,89,111,22,1008,2145
32,22,0,0,1008,2145
32,53,59,6,1008,2145
32,6,0,0,1008,2145
32,97,140,43,1008,2145
32,43,0,0,1008,2145
32,26,41,15,1008,2145
32,15,0,0,1008,2145
32,59,85,26,1008,2145
32,26,0,0,1008,2145
33,27,124,97,2586,3640
33,97,0,0,2586,3640
33,86,177,91,2586,3640
33,91,0,0,2586,3640
