test_id,Demand,Order Quantity,Inventory,Holdingcost,Orderingcost
1,81,81,0,4180,2670
1,49,146,97,4180,2670
1,97,0,0,4180,2670
1,40,96,56,4180,2670
1,1,0,55,4180,2670
1,55,0,0,4180,2670
1,87,215,128,4180,2670
1,46,0,82,4180,2670
1,82,0,0,4180,2670
1,77,77,0,4180,2670
2,42,156,114,2752,2841
2,40,0,74,2752,2841
2,74,0,0,2752,2841
2,13,189,176,2752,2841
2,64,0,112,2752,2841
2,1,0,111,2752,2841
2,84,0,27,2752,2841
2,27,0,0,2752,2841
2,98,172,74,2752,2841
2,74,0,0,2752,2841
3,81,136,55,1976,1692
3,55,0,0,1976,1692
3,0,0,0,1976,1692
3,16,223,207,1976,1692
3,21,0,186,1976,1692
3,8,0,178,1976,1692
3,10,0,168,1976,1692
3,24,0,144,1976,1692
3,94,0,50,1976,1692
3,50,0,0,1976,1692
4,44,74,30,2513,3076
4,30,0,0,2513,3076
4,76,165,89,2513,3076
4,89,0,0,2513,3076
4,93,149,56,2513,3076
4,56,0,0,2513,3076
4,15,132,117,2513,3076
4,66,0,51,2513,3076
4,35,0,16,2513,3076
4,16,0,0,2513,3076
5,21,109,88,1712,1236
5,13,0,75,1712,1236
5,11,0,64,1712,1236
5,64,0,0,1712,1236
5,33,131,98,1712,1236
5,57,0,41,1712,1236
5,15,0,26,1712,1236
5,26,0,0,1712,1236
5,23,59,36,1712,1236
5,36,0,0,1712,1236
6,42,170,128,1263,468
6,6,0,122,1263,468
6,2,0,120,1263,468
6,32,0,88,1263,468
6,88,0,0,1263,468
6,80,347,267,1263,468
6,3,0,264,1263,468
6,83,0,181,1263,468
6,88,0,93,1263,468
6,93,0,0,1263,468
7,23,133,110,5145,1629
7,24,0,86,5145,1629
7,86,0,0,5145,1629
7,83,230,147,5145,1629
7,91,0,56,5145,1629
7,56,0,0,5145,1629
7,22,187,165,5145,1629
7,46,0,119,5145,1629
7,67,0,52,5145,1629
7,52,0,0,5145,1629
8,14,87,73,1382,662
8,7,0,66,1382,662
8,23,0,43,1382,662
8,1,0,42,1382,662
8,42,0,0,1382,662
8,22,192,170,1382,662
8,52,0,118,1382,662
8,22,0,96,1382,662
8,13,0,83,1382,662
8,83,0,0,1382,662
9,86,86,0,2163,2046
9,81,81,0,2163,2046
9,94,94,0,2163,2046
9,3,94,91,2163,2046
9,3,0,88,2163,2046
9,88,0,0,2163,2046
9,61,134,73,2163,2046
9,16,0,57,2163,2046
9,57,0,0,2163,2046
9,25,25,0,2163,2046
10,94,94,0,0,1110
10,81,81,0,0,1110
10,40,40,0,0,1110
10,58,58,0,0,1110
10,89,89,0,0,1110
10,44,44,0,0,1110
10,36,36,0,0,1110
10,63,63,0,0,1110
10,60,60,0,0,1110
10,31,31,0,0,1110
11,20,94,74,2982,1460
11,16,0,58,2982,1460
11,58,0,0,2982,1460
11,88,175,87,2982,1460
11,87,0,0,2982,1460
11,40,180,140,2982,1460
11,100,0,40,2982,1460
