test_id,Demand,Order Quantity,Inventory,Holdingcost,Orderingcost
1,93,93,0,0,480
1,53,53,0,0,960
1,50,50,0,0,1440
1,35,35,0,0,1920
1,11,11,0,0,2400
1,87,87,0,0,2880
1,0,0,0,0,2880
1,41,41,0,0,3360
1,54,54,0,0,3840
1,69,69,0,0,4320
1,68,68,0,0,4800
1,22,22,0,0,5280
1,42,42,0,0,5760
1,57,57,0,0,6240
1,85,85,0,0,6720
1,58,58,0,0,7200
1,86,86,0,0,7680
1,25,25,0,0,8160
1,37,37,0,0,8640
1,11,11,0,0,9120
2,3,3,0,0,218
2,47,47,0,0,436
2,74,74,0,0,654
2,35,35,0,0,872
2,37,37,0,0,1090
2,79,79,0,0,1308
2,36,36,0,0,1526
2,23,23,0,0,1744
2,52,52,0,0,1962
2,77,77,0,0,2180
2,54,54,0,0,2398
2,79,79,0,0,2616
2,35,35,0,0,2834
2,84,84,0,0,3052
2,14,14,0,0,3270
2,89,89,0,0,3488
2,46,46,0,0,3706
2,25,25,0,0,3924
2,8,8,0,0,4142
2,93,93,0,0,4360
3,48,48,0,0,700
3,67,67,0,0,1400
3,19,19,0,0,2100
3,48,48,0,0,2800
3,15,15,0,0,3500
3,13,13,0,0,4200
3,41,41,0,0,4900
3,100,100,0,0,5600
3,86,86,0,0,6300
3,100,100,0,0,7000
3,20,20,0,0,7700
3,35,35,0,0,8400
3,58,58,0,0,9100
3,1,1,0,0,9800
3,75,75,0,0,10500
3,87,87,0,0,11200
3,1,1,0,0,11900
3,8,8,0,0,12600
3,63,63,0,0,13300
3,36,36,0,0,14000
4,91,91,0,0,119
4,65,65,0,0,238
4,25,25,0,0,357
4,76,76,0,0,476
4,16,16,0,0,595
4,42,42,0,0,714
4,64,64,0,0,833
4,22,22,0,0,952
4,36,36,0,0,1071
4,0,0,0,0,1071
4,77,77,0,0,1190
4,26,26,0,0,1309
4,89,89,0,0,1428
4,37,37,0,0,1547
4,3,3,0,0,1666
4,40,40,0,0,1785
4,73,73,0,0,1904
4,21,21,0,0,2023
4,6,6,0,0,2142
4,87,87,0,0,2261
5,22,22,0,0,652
5,44,44,0,0,1304
5,1,1,0,0,1956
5,59,59,0,0,2608
5,20,20,0,0,3260
5,85,85,0,0,3912
5,85,85,0,0,4564
5,83,83,0,0,5216
5,4,4,0,0,5868
5,1,1,0,0,6520
5,76,76,0,0,7172
5,72,72,0,0,7824
5,17,17,0,0,8476
5,40,40,0,0,9128
5,98,98,0,0,9780
5,43,43,0,0,10432
5,16,16,0,0,11084
5,19,19,0,0,11736
5,10,10,0,0,12388
5,88,88,0,0,13040
6,96,96,0,0,979
6,46,46,0,0,1958
6,63,63,0,0,2937
6,50,50,0,0,3916
6,83,83,0,0,4895
6,97,97,0,0,5874
6,22,22,0,0,6853
6,97,97,0,0,7832
6,20,20,0,0,8811
6,66,66,0,0,9790
6,96,96,0,0,10769
6,0,0,0,0,10769
6,72,72,0,0,11748
6,6,6,0,0,12727
6,12,12,0,0,13706
6,88,88,0,0,14685
6,75,75,0,0,15664
6,84,84,0,0,16643
6,66,66,0,0,17622
6,7,7,0,0,18601
7,47,47,0,0,475
7,63,63,0,0,950
7,31,31,0,0,1425
7,18,18,0,0,1900
7,19,19,0,0,2375
7,14,14,0,0,2850
7,91,91,0,0,3325
7,71,71,0,0,3800
7,61,61,0,0,4275
7,86,86,0,0,4750
7,26,26,0,0,5225
7,35,35,0,0,5700
7,61,61,0,0,6175
7,34,34,0,0,6650
7,91,91,0,0,7125
7,94,94,0,0,7600
7,68,68,0,0,8075
7,71,71,0,0,8550
7,66,66,0,0,9025
7,50,50,0,0,9500
8,69,69,0,0,347
8,92,92,0,0,694
8,73,73,0,0,1041
8,39,39,0,0,1388
8,7,7,0,0,1735
8,70,70,0,0,2082
8,85,85,0,0,2429
8,73,73,0,0,2776
8,79,79,0,0,3123
8,86,86,0,0,3470
8,14,14,0,0,3817
8,14,14,0,0,4164
8,6,6,0,0,4511
8,9,9,0,0,4858
8,62,62,0,0,5205
8,71,71,0,0,5552
8,80,80,0,0,5899
8,43,43,0,0,6246
8,96,96,0,0,6593
8,49,49,0,0,6940
9,25,25,0,0,383
9,82,82,0,0,766
9,9,9,0,0,1149
9,54,54,0,0,1532
9,67,67,0,0,1915
9,45,45,0,0,2298
9,61,61,0,0,2681
9,17,17,0,0,3064
9,73,73,0,0,3447
9,13,13,0,0,3830
9,24,24,0,0,4213
9,66,66,0,0,4596
9,25,25,0,0,4979
9,52,52,0,0,5362
9,40,40,0,0,5745
9,54,54,0,0,6128
9,61,61,0,0,6511
9,100,100,0,0,6894
9,94,94,0,0,7277
9,32,32,0,0,7660
10,54,54,0,0,589
10,15,15,0,0,1178
10,14,14,0,0,1767
10,17,17,0,0,2356
10,12,12,0,0,2945
10,10,10,0,0,3534
10,90,90,0,0,4123
10,59,59,0,0,4712
10,0,0,0,0,4712
10,70,70,0,0,5301
10,37,37,0,0,5890
10,77,77,0,0,6479
10,11,11,0,0,7068
10,91,91,0,0,7657
10,61,61,0,0,8246
10,85,85,0,0,8835
10,87,87,0,0,9424
10,59,59,0,0,10013
10,18,18,0,0,10602
10,79,79,0,0,11191
11,64,64,0,0,616
11,26,26,0,0,1232
11,12,12,0,0,1848
11,98,98,0,0,2464
11,95,95,0,0,3080
11,15,15,0,0,3696
11,2,2,0,0,4312
11,71,71,0,0,4928
11,64,64,0,0,5544
11,49,49,0,0,6160
11,68,68,0,0,6776
11,98,98,0,0,7392
11,48,48,0,0,8008
11,10,10,0,0,8624
11,34,34,0,0,9240
11,54,54,0,0,9856
11,60,60,0,0,10472
11,66,66,0,0,11088
11,27,27,0,0,11704
11,35,35,0,0,12320
12,37,37,0,0,895
12,63,63,0,0,1790
12,0,0,0,0,1790
12,11,11,0,0,2685
12,21,21,0,0,3580
12,93,93,0,0,4475
12,100,100,0,0,5370
12,24,24,0,0,6265
12,78,78,0,0,7160
12,49,49,0,0,8055
12,65,65,0,0,8950
12,86,86,0,0,9845
12,85,85,0,0,10740
12,95,95,0,0,11635
12,20,20,0,0,12530
12,93,93,0,0,13425
12,10,10,0,0,14320
12,1,1,0,0,15215
12,23,23,0,0,16110
12,89,89,0,0,17005
13,59,59,0,0,535
13,1,1,0,0,1070
13,94,94,0,0,1605
13,98,98,0,0,2140
13,39,39,0,0,2675
13,22,22,0,0,3210
13,29,29,0,0,3745
13,22,22,0,0,4280
13,64,64,0,0,4815
13,85,85,0,0,5350
13,38,38,0,0,5885
13,3,3,0,0,6420
13,12,12,0,0,6955
13,50,50,0,0,7490
13,62,62,0,0,8025
13,47,47,0,0,8560
13,45,45,0,0,9095
13,14,14,0,0,9630
13,50,50,0,0,10165
13,31,31,0,0,10700
14,99,99,0,0,987
14,75,75,0,0,1974
14,73,73,0,0,2961
14,11,11,0,0,3948
14,22,22,0,0,4935
14,36,36,0,0,5922
14,63,63,0,0,6909
14,64,64,0,0,7896
14,100,100,0,0,8883
14,98,98,0,0,9870
14,24,24,0,0,10857
14,75,75,0,0,11844
14,16,16,0,0,12831
14,95,95,0,0,13818
14,66,66,0,0,14805
14,39,39,0,0,15792
14,39,39,0,0,16779
14,78,78,0,0,17766
14,41,41,0,0,18753
14,88,88,0,0,19740
15,55,55,0,0,515
15,54,54,0,0,1030
15,63,63,0,0,1545
15,67,67,0,0,2060
15,100,100,0,0,2575
15,94,94,0,0,3090
15,58,58,0,0,3605
15,90,90,0,0,4120
15,90,90,0,0,4635
15,10,10,0,0,5150
15,80,80,0,0,5665
15,10,10,0,0,6180
15,83,83,0,0,6695
15,91,91,0,0,7210
15,34,34,0,0,7725
15,74,74,0,0,8240
15,92,92,0,0,8755
15,92,92,0,0,9270
15,38,38,0,0,9785
15,1,1,0,0,10300
16,66,66,0,0,530
16,86,86,0,0,1060
16,76,76,0,0,1590
16,14,14,0,0,2120
16,73,73,0,0,2650
16,83,83,0,0,3180
16,63,63,0,0,3710
16,72,72,0,0,4240
16,14,14,0,0,4770
16,100,100,0,0,5300
16,92,92,0,0,5830
16,93,93,0,0,6360
16,62,62,0,0,6890
16,12,12,0,0,7420
16,35,35,0,0,7950
16,18,18,0,0,8480
16,96,96,0,0,9010
16,54,54,0,0,9540
16,13,13,0,0,10070
16,6,6,0,0,10600
17,96,96,0,0,187
17,75,75,0,0,374
17,85,85,0,0,561
17,92,92,0,0,748
17,68,68,0,0,935
17,2,2,0,0,1122
17,40,40,0,0,1309
17,44,44,0,0,1496
17,67,67,0,0,1683
17,9,9,0,0,1870
17,45,45,0,0,2057
17,56,56,0,0,2244
17,35,35,0,0,2431
17,68,68,0,0,2618
17,71,71,0,0,2805
17,22,22,0,0,2992
17,38,38,0,0,3179
17,19,19,0,0,3366
17,38,38,0,0,3553
17,7,7,0,0,3740
18,4,4,0,0,801
18,79,79,0,0,1602
18,63,63,0,0,2403
18,17,17,0,0,3204
18,73,73,0,0,4005
18,32,32,0,0,4806
18,93,93,0,0,5607
18,62,62,0,0,6408
18,35,35,0,0,7209
18,63,63,0,0,8010
18,76,76,0,0,8811
18,21,21,0,0,9612
18,24,24,0,0,10413
18,45,45,0,0,11214
18,83,83,0,0,12015
18,30,30,0,0,12816
18,21,21,0,0,13617
18,73,73,0,0,14418
18,82,82,0,0,15219
18,54,54,0,0,16020
19,2,2,0,0,172
19,18,18,0,0,344
19,6,6,0,0,516
19,39,39,0,0,688
19,40,40,0,0,860
19,62,62,0,0,1032
19,66,66,0,0,1204
19,83,83,0,0,1376
19,55,55,0,0,1548
19,45,45,0,0,1720
19,21,21,0,0,1892
19,43,43,0,0,2064
19,56,56,0,0,2236
19,71,71,0,0,2408
19,25,25,0,0,2580
19,66,66,0,0,2752
19,18,18,0,0,2924
19,61,61,0,0,3096
19,97,97,0,0,3268
19,38,38,0,0,3440
20,43,43,0,0,486
20,54,54,0,0,972
20,36,36,0,0,1458
20,46,46,0,0,1944
20,50,50,0,0,2430
20,77,77,0,0,2916
20,5,5,0,0,3402
20,81,81,0,0,3888
20,22,22,0,0,4374
20,96,96,0,0,4860
20,76,76,0,0,5346
20,85,85,0,0,5832
20,43,43,0,0,6318
20,40,40,0,0,6804
20,7,7,0,0,7290
20,26,26,0,0,7776
20,89,89,0,0,8262
20,3,3,0,0,8748
20,79,79,0,0,9234
20,57,57,0,0,9720
21,71,71,0,0,517
21,94,94,0,0,1034
21,32,32,0,0,1551
21,61,61,0,0,2068
21,27,27,0,0,2585
21,9,9,0,0,3102
21,79,79,0,0,3619
21,28,28,0,0,4136
21,78,78,0,0,4653
21,70,70,0,0,5170
21,98,98,0,0,5687
21,77,77,0,0,6204
21,100,100,0,0,6721
21,55,55,0,0,7238
21,92,92,0,0,7755
21,20,20,0,0,8272
21,79,79,0,0,8789
21,68,68,0,0,9306
21,89,89,0,0,9823
21,54,54,0,0,10340
22,56,56,0,0,685
22,49,49,0,0,1370
22,56,56,0,0,2055
22,0,0,0,0,2055
22,80,80,0,0,2740
22,96,96,0,0,3425
22,41,41,0,0,4110
22,24,24,0,0,4795
22,80,80,0,0,5480
22,62,62,0,0,6165
22,16,16,0,0,6850
22,65,65,0,0,7535
22,52,52,0,0,8220
22,42,42,0,0,8905
22,4,4,0,0,9590
22,78,78,0,0,10275
22,48,48,0,0,10960
22,45,45,0,0,11645
22,55,55,0,0,12330
22,83,83,0,0,13015
23,76,76,0,0,982
23,77,77,0,0,1964
23,16,16,0,0,2946
23,0,0,0,0,2946
23,20,20,0,0,3928
23,29,29,0,0,4910
23,89,89,0,0,5892
23,5,5,0,0,6874
23,100,100,0,0,7856
23,65,65,0,0,8838
23,80,80,0,0,9820
23,44,44,0,0,10802
23,64,64,0,0,11784
23,14,14,0,0,12766
23,7,7,0,0,13748
23,69,69,0,0,14730
23,93,93,0,0,15712
23,9,9,0,0,16694
23,65,65,0,0,17676
23,2,2,0,0,18658
24,69,69,0,0,790
24,66,66,0,0,1580
24,31,31,0,0,2370
24,94,94,0,0,3160
24,97,97,0,0,3950
24,8,8,0,0,4740
24,98,98,0,0,5530
24,98,98,0,0,6320
24,72,72,0,0,7110
24,22,22,0,0,7900
24,37,37,0,0,8690
24,8,8,0,0,9480
24,49,49,0,0,10270
24,41,41,0,0,11060
24,49,49,0,0,11850
24,34,34,0,0,12640
24,73,73,0,0,13430
24,27,27,0,0,14220
24,21,21,0,0,15010
24,19,19,0,0,15800
25,96,96,0,0,859
25,25,25,0,0,1718
25,74,74,0,0,2577
25,65,65,0,0,3436
25,99,99,0,0,4295
25,19,19,0,0,5154
25,19,19,0,0,6013
25,67,67,0,0,6872
25,7,7,0,0,7731
25,21,21,0,0,8590
25,11,11,0,0,9449
25,51,51,0,0,10308
25,29,29,0,0,11167
25,28,28,0,0,12026
25,34,34,0,0,12885
25,9,9,0,0,13744
25,52,52,0,0,14603
25,97,97,0,0,15462
25,68,68,0,0,16321
25,62,62,0,0,17180
26,26,26,0,0,584
26,22,22,0,0,1168
26,43,43,0,0,1752
26,45,45,0,0,2336
26,31,31,0,0,2920
26,77,77,0,0,3504
26,64,64,0,0,4088
26,92,92,0,0,4672
26,80,80,0,0,5256
26,69,69,0,0,5840
26,100,100,0,0,6424
26,72,72,0,0,7008
26,11,11,0,0,7592
26,46,46,0,0,8176
26,28,28,0,0,8760
26,7,7,0,0,9344
26,26,26,0,0,9928
26,37,37,0,0,10512
26,90,90,0,0,11096
26,39,39,0,0,11680
27,13,13,0,0,425
27,34,34,0,0,850
27,29,29,0,0,1275
27,25,25,0,0,1700
27,19,19,0,0,2125
27,98,98,0,0,2550
27,38,38,0,0,2975
27,13,13,0,0,3400
27,85,85,0,0,3825
27,88,88,0,0,4250
27,30,30,0,0,4675
27,74,74,0,0,5100
27,93,93,0,0,5525
27,12,12,0,0,5950
27,89,89,0,0,6375
27,52,52,0,0,6800
27,66,66,0,0,7225
27,30,30,0,0,7650
27,79,79,0,0,8075
27,83,83,0,0,8500
28,25,25,0,0,830
28,41,41,0,0,1660
28,5,5,0,0,2490
28,98,98,0,0,3320
28,19,19,0,0,4150
28,23,23,0,0,4980
