test_id,Demand,Order Quantity,Inventory,Holdingcost,Orderingcost
1,81,130,49,500,4272
1,49,0,0,500,4272
1,97,97,0,500,4272
1,40,41,1,500,4272
1,1,0,0,500,4272
1,55,55,0,500,4272
1,87,87,0,500,4272
1,46,46,0,500,4272
1,82,82,0,500,4272
1,77,77,0,500,4272
2,42,169,127,912,5682
2,40,0,87,912,5682
2,74,0,13,912,5682
2,13,0,0,912,5682
2,64,65,1,912,5682
2,1,0,0,912,5682
2,84,84,0,912,5682
2,27,27,0,912,5682
2,98,98,0,912,5682
2,74,74,0,912,5682
3,81,191,110,762,2538
3,55,0,55,762,2538
3,0,0,55,762,2538
3,16,0,39,762,2538
3,21,0,18,762,2538
3,8,0,10,762,2538
3,10,0,0,762,2538
3,24,118,94,762,2538
3,94,0,0,762,2538
3,50,50,0,762,2538
4,44,74,30,714,5383
4,30,0,0,714,5383
4,76,76,0,714,5383
4,89,89,0,714,5383
4,93,149,56,714,5383
4,56,0,0,714,5383
4,15,15,0,714,5383
4,66,66,0,714,5383
4,35,51,16,714,5383
4,16,0,0,714,5383
5,21,45,24,332,2472
5,13,0,11,332,2472
5,11,0,0,332,2472
5,64,97,33,332,2472
5,33,0,0,332,2472
5,57,72,15,332,2472
5,15,0,0,332,2472
5,26,26,0,332,2472
5,23,23,0,332,2472
5,36,36,0,332,2472
6,42,82,40,192,1170
6,6,0,34,192,1170
6,2,0,32,192,1170
6,32,0,0,192,1170
6,88,171,83,192,1170
6,80,0,3,192,1170
6,3,0,0,192,1170
6,83,83,0,192,1170
6,88,88,0,192,1170
6,93,93,0,192,1170
7,23,47,24,322,4344
7,24,0,0,322,4344
7,86,86,0,322,4344
7,83,83,0,322,4344
7,91,91,0,322,4344
7,56,78,22,322,4344
7,22,0,0,322,4344
7,46,46,0,322,4344
7,67,67,0,322,4344
7,52,52,0,322,4344
8,14,45,31,252,1324
8,7,0,24,252,1324
8,23,0,1,252,1324
8,1,0,0,252,1324
8,42,64,22,252,1324
8,22,0,0,252,1324
8,52,87,35,252,1324
8,22,0,13,252,1324
8,13,0,0,252,1324
8,83,83,0,252,1324
9,86,86,0,175,2387
9,81,81,0,175,2387
9,94,100,6,175,2387
9,3,0,3,175,2387
9,3,0,0,175,2387
9,88,88,0,175,2387
9,61,77,16,175,2387
9,16,0,0,175,2387
9,57,57,0,175,2387
9,25,25,0,175,2387
10,94,94,0,0,1110
10,81,81,0,0,1110
10,40,40,0,0,1110
10,58,58,0,0,1110
10,89,89,0,0,1110
10,44,44,0,0,1110
10,36,36,0,0,1110
10,63,63,0,0,1110
10,60,60,0,0,1110
10,31,31,0,0,1110
11,20,36,16,336,2920
11,16,0,0,336,2920
11,58,58,0,336,2920
11,88,88,0,336,2920
11,87,127,40,336,2920
11,40,0,0,336,2920
11,100,100,0,336,2920
11,40,40,0,336,2920
11,95,95,0,336,2920
11,98,98,0,336,2920
12,15,15,0,24,1962
12,68,68,0,24,1962
12,66,66,0,24,1962
12,62,65,3,24,1962
12,3,0,0,24,1962
12,75,75,0,24,1962
12,32,32,0,24,1962
12,34,34,0,24,1962
12,40,40,0,24,1962
12,100,100,0,24,1962
13,6,35,29,306,2488
13,29,0,0,306,2488
13,12,12,0,306,2488
13,84,84,0,306,2488
13,39,39,0,306,2488
13,55,60,5,306,2488
13,5,0,0,306,2488
13,55,55,0,306,2488
13,75,75,0,306,2488
13,3,3,0,306,2488
14,9,38,29,232,2376
14,29,0,0,232,2376
14,34,34,0,232,2376
14,98,98,0,232,2376
14,59,59,0,232,2376
14,41,41,0,232,2376
14,17,17,0,232,2376
14,89,89,0,232,2376
14,13,13,0,232,2376
14,83,83,0,232,2376
15,55,82,27,594,6944
15,27,0,0,594,6944
15,85,157,72,594,6944
15,72,0,0,594,6944
15,85,85,0,594,6944
15,73,73,0,594,6944
15,51,51,0,594,6944
15,86,86,0,594,6944
15,62,62,0,594,6944
15,62,62,0,594,6944
16,11,17,6,581,5490
16,6,0,0,581,5490
16,79,124,45,581,5490
16,45,0,0,581,5490
16,99,99,0,581,5490
16,82,96,14,581,5490
16,14,0,0,581,5490
16,58,76,18,581,5490
16,18,0,0,581,5490
16,32,32,0,581,5490
17,88,88,0,384,4680
17,98,135,37,384,4680
17,37,0,0,384,4680
17,54,65,11,384,4680
17,11,0,0,384,4680
17,97,97,0,384,4680
17,40,40,0,384,4680
17,27,27,0,384,4680
17,73,73,0,384,4680
17,42,42,0,384,4680
18,70,100,30,396,3066
18,30,0,0,396,3066
18,43,43,0,396,3066
18,66,66,0,396,3066
18,97,106,9,396,3066
18,4,0,5,396,3066
18,5,0,0,396,3066
18,62,62,0,396,3066
18,9,9,0,396,3066
18,66,66,0,396,3066
19,83,93,10,350,2492
19,10,0,0,350,2492
19,71,71,0,350,2492
19,81,94,13,350,2492
19,13,0,0,350,2492
19,97,124,27,350,2492
19,27,0,0,350,2492
19,72,72,0,350,2492
19,99,99,0,350,2492
19,30,30,0,350,2492
20,11,158,147,806,4920
20,34,0,113,806,4920
20,35,0,78,806,4920
20,78,0,0,806,4920
20,31,96,65,806,4920
20,65,0,0,806,4920
20,69,69,0,806,4920
20,55,55,0,806,4920
20,91,91,0,806,4920
20,58,58,0,806,4920
21,55,95,40,125,780
21,40,0,0,125,780
21,90,143,53,125,780
21,53,0,0,125,780
21,56,58,2,125,780
21,2,0,0,125,780
21,77,92,15,125,780
21,15,0,0,125,780
21,83,98,15,125,780
21,15,0,0,125,780
22,3,87,84,550,3528
22,77,0,7,550,3528
22,7,0,0,550,3528
22,66,66,0,550,3528
22,50,62,12,550,3528
22,12,0,0,550,3528
22,91,91,0,550,3528
22,86,86,0,550,3528
22,74,81,7,550,3528
22,7,0,0,550,3528
23,90,137,47,756,6076
23,34,0,13,756,6076
23,13,0,0,756,6076
23,88,88,0,756,6076
23,46,70,24,756,6076
23,24,0,0,756,6076
23,62,62,0,756,6076
23,76,76,0,756,6076
23,35,35,0,756,6076
23,72,72,0,756,6076
24,21,21,0,300,5832
24,73,73,0,300,5832
24,87,87,0,300,5832
24,99,99,0,300,5832
24,71,101,30,300,5832
24,30,0,0,300,5832
24,37,37,0,300,5832
24,89,89,0,300,5832
24,95,95,0,300,5832
24,53,53,0,300,5832
25,39,123,84,558,4053
25,80,0,4,558,4053
25,4,0,0,558,4053
25,85,85,0,558,4053
25,89,89,0,558,4053
25,30,30,0,558,4053
25,25,25,0,558,4053
25,23,23,0,558,4053
25,35,40,5,558,4053
25,5,0,0,558,4053
26,58,197,139,660,3730
26,87,0,52,660,3730
26,48,0,4,660,3730
26,4,0,0,660,3730
26,59,78,19,660,3730
26,13,0,6,660,3730
26,6,0,0,660,3730
26,85,85,0,660,3730
26,82,82,0,660,3730
26,47,47,0,660,3730
27,14,55,41,450,3246
27,24,0,17,450,3246
27,17,0,0,450,3246
27,26,26,0,450,3246
27,96,109,13,450,3246
27,13,0,0,450,3246
27,87,87,0,450,3246
27,65,84,19,450,3246
27,19,0,0,450,3246
27,49,49,0,450,3246
28,51,181,130,332,1700
28,19,0,111,332,1700
28,65,0,46,332,1700
28,44,0,2,332,1700
28,2,0,0,332,1700
28,58,101,43,332,1700
28,43,0,0,332,1700
28,79,79,0,332,1700
28,19,19,0,332,1700
28,79,79,0,332,1700
29,92,123,31,638,1989
29,18,0,13,638,1989
29,13,0,0,638,1989
29,99,200,101,638,1989
29,13,0,88,638,1989
29,65,0,23,638,1989
29,21,0,2,638,1989
29,2,0,0,638,1989
29,94,155,61,638,1989
29,61,0,0,638,1989
30,38,87,49,285,3430
30,49,0,0,285,3430
30,51,51,0,285,3430
30,0,0,0,285,3430
30,28,28,0,285,3430
30,95,103,8,285,3430
30,8,0,0,285,3430
30,47,47,0,285,3430
30,89,89,0,285,3430
30,76,76,0,285,3430
31,43,150,107,528,4336
31,82,0,25,528,4336
31,25,0,0,528,4336
31,69,69,0,528,4336
31,31,31,0,528,4336
31,25,25,0,528,4336
31,40,40,0,528,4336
31,80,80,0,528,4336
31,33,33,0,528,4336
31,57,57,0,528,4336
32,89,111,22,387,3003
32,22,0,0,387,3003
32,53,59,6,387,3003
32,6,0,0,387,3003
32,97,97,0,387,3003
32,43,43,0,387,3003
32,26,41,15,387,3003
32,15,0,0,387,3003
32,59,59,0,387,3003
32,26,26,0,387,3003
33,27,124,97,762,7280
33,97,0,0,762,7280
33,86,86,0,762,7280
33,91,91,0,762,7280
33,81,81,0,762,7280
33,83,113,30,762,7280
33,30,0,0,762,7280
33,46,46,0,762,7280
33,26,26,0,762,7280
33,37,37,0,762,7280
34,15,15,0,328,2720
34,66,66,0,328,2720
34,55,55,0,328,2720
34,64,73,9,328,2720
34,9,0,0,328,2720
34,100,100,0,328,2720
34,62,94,32,328,2720
34,32,0,0,328,2720
34,7,7,0,328,2720
34,49,49,0,328,2720
35,34,42,8,306,2695
35,8,0,0,306,2695
35,86,86,0,306,2695
35,80,80,0,306,2695
35,72,101,29,306,2695
35,15,0,14,306,2695
35,14,0,0,306,2695
35,16,16,0,306,2695
35,53,53,0,306,2695
35,46,46,0,306,2695
36,20,84,64,280,2384
36,64,0,0,280,2384
36,73,149,76,280,2384
36,76,0,0,280,2384
36,54,54,0,280,2384
36,88,88,0,280,2384
36,59,59,0,280,2384
36,49,49,0,280,2384
36,42,42,0,280,2384
36,54,54,0,280,2384
37,11,79,68,772,4758
37,6,0,62,772,4758
37,44,0,18,772,4758
37,18,0,0,772,4758
37,52,52,0,772,4758
37,83,128,45,772,4758
37,45,0,0,772,4758
37,46,46,0,772,4758
37,47,47,0,772,4758
37,98,98,0,772,4758
38,16,125,109,875,4750
38,88,0,21,875,4750
38,21,0,0,875,4750
38,85,103,18,875,4750
38,18,0,0,875,4750
38,97,109,12,875,4750
38,12,0,0,875,4750
38,92,107,15,875,4750
38,15,0,0,875,4750
38,99,99,0,875,4750
39,13,74,61,674,2598
39,10,0,51,674,2598
39,10,0,41,674,2598
39,2,0,39,674,2598
39,39,0,0,674,2598
39,94,155,61,674,2598
39,10,0,51,674,2598
39,18,0,33,674,2598
39,33,0,0,674,2598
39,47,47,0,674,2598
40,66,147,81,774,5600
40,73,0,8,774,5600
40,8,0,0,774,5600
40,71,71,0,774,5600
40,61,61,0,774,5600
40,54,54,0,774,5600
40,90,90,0,774,5600
40,49,89,40,774,5600
40,40,0,0,774,5600
40,68,68,0,774,5600
41,49,147,98,486,2456
41,61,0,37,486,2456
41,37,0,0,486,2456
41,74,117,43,486,2456
