test_id,Demand,Order Quantity,Inventory,Holdingcost,Orderingcost
1,81,130,49,3470,2136
1,49,0,0,3470,2136
1,97,138,41,3470,2136
1,40,0,1,3470,2136
1,1,0,0,3470,2136
1,55,188,133,3470,2136
1,87,0,46,3470,2136
1,46,0,0,3470,2136
1,82,159,77,3470,2136
1,77,0,0,3470,2136
2,42,82,40,1628,3788
2,40,0,0,1628,3788
2,74,152,78,1628,3788
2,13,0,65,1628,3788
2,64,0,1,1628,3788
2,1,0,0,1628,3788
2,84,209,125,1628,3788
2,27,0,98,1628,3788
2,98,0,0,1628,3788
2,74,74,0,1628,3788
3,81,191,110,962,1692
3,55,0,55,962,1692
3,0,0,55,962,1692
3,16,0,39,962,1692
3,21,0,18,962,1692
3,8,0,10,962,1692
3,10,0,0,962,1692
3,24,168,144,962,1692
3,94,0,50,962,1692
3,50,0,0,962,1692
4,44,74,30,1904,3076
4,30,0,0,1904,3076
4,76,165,89,1904,3076
4,89,0,0,1904,3076
4,93,164,71,1904,3076
4,56,0,15,1904,3076
4,15,0,0,1904,3076
4,66,117,51,1904,3076
4,35,0,16,1904,3076
4,16,0,0,1904,3076
5,21,45,24,816,1648
5,13,0,11,816,1648
5,11,0,0,816,1648
5,64,97,33,816,1648
5,33,0,0,816,1648
5,57,121,64,816,1648
5,15,0,49,816,1648
5,26,0,23,816,1648
5,23,0,0,816,1648
5,36,36,0,816,1648
6,42,50,8,541,702
6,6,0,2,541,702
6,2,0,0,541,702
6,32,203,171,541,702
6,88,0,83,541,702
6,80,0,3,541,702
6,3,0,0,541,702
6,83,264,181,541,702
6,88,0,93,541,702
6,93,0,0,541,702
7,23,47,24,2646,2172
7,24,0,0,2646,2172
7,86,169,83,2646,2172
7,83,0,0,2646,2172
7,91,169,78,2646,2172
7,56,0,22,2646,2172
7,22,0,0,2646,2172
7,46,165,119,2646,2172
7,67,0,52,2646,2172
7,52,0,0,2646,2172
8,14,45,31,600,993
8,7,0,24,600,993
8,23,0,1,600,993
8,1,0,0,600,993
8,42,151,109,600,993
8,22,0,87,600,993
8,52,0,35,600,993
8,22,0,13,600,993
8,13,0,0,600,993
8,83,83,0,600,993
9,86,86,0,350,2046
9,81,81,0,350,2046
9,94,100,6,350,2046
9,3,0,3,350,2046
9,3,0,0,350,2046
9,88,88,0,350,2046
9,61,77,16,350,2046
9,16,0,0,350,2046
9,57,82,25,350,2046
9,25,0,0,350,2046
10,94,94,0,0,1110
10,81,81,0,0,1110
10,40,40,0,0,1110
10,58,58,0,0,1110
10,89,89,0,0,1110
10,44,44,0,0,1110
10,36,36,0,0,1110
10,63,63,0,0,1110
10,60,60,0,0,1110
10,31,31,0,0,1110
11,20,36,16,1164,2190
11,16,0,0,1164,2190
11,58,58,0,1164,2190
11,88,88,0,1164,2190
11,87,127,40,1164,2190
11,40,0,0,1164,2190
11,100,140,40,1164,2190
11,40,0,0,1164,2190
11,95,193,98,1164,2190
11,98,0,0,1164,2190
12,15,15,0,24,1962
12,68,68,0,24,1962
12,66,66,0,24,1962
12,62,65,3,24,1962
12,3,0,0,24,1962
12,75,75,0,24,1962
12,32,32,0,24,1962
12,34,34,0,24,1962
12,40,40,0,24,1962
12,100,100,0,24,1962
13,6,47,41,1602,1244
13,29,0,12,1602,1244
13,12,0,0,1602,1244
13,84,123,39,1602,1244
13,39,0,0,1602,1244
13,55,60,5,1602,1244
13,5,0,0,1602,1244
13,55,133,78,1602,1244
13,75,0,3,1602,1244
13,3,0,0,1602,1244
14,9,38,29,944,1584
14,29,0,0,944,1584
14,34,34,0,944,1584
14,98,157,59,944,1584
14,59,0,0,944,1584
14,41,58,17,944,1584
14,17,0,0,944,1584
14,89,102,13,944,1584
14,13,0,0,944,1584
14,83,83,0,944,1584
15,55,82,27,2760,3472
15,27,0,0,2760,3472
15,85,157,72,2760,3472
15,72,0,0,2760,3472
15,85,209,124,2760,3472
15,73,0,51,2760,3472
15,51,0,0,2760,3472
15,86,210,124,2760,3472
